"Country","Adults (thousands)","mean wealth per adult (USD)","median wealth per adult (USD)","% Adults with less than $10.000","% Adults between $10.000 - 100.000","% Adults between $100.000 - 1.000.000","% Adults over $1.000.000","Gini Index (%)","POPOLAZIONE","Adults with less than $10.000","Adults between $10.000 - 100.000","Adults between $100.000 - 1.000.000","Adults over $1.000.000"
"Botswana","1,358","15,598","3,680","80","16.8","3.1","0.1","87.3","1358000","1086400","228144","42098","1358"
"Brazil","153,307","18,272","3,469","79.5","17.5","2.8","0.1","89","153307000","121879065","26828725","4292596","153307"
"British Caribbean","567","45,109","14,684","44","47.7","7.9","0.4","80.8","567000","249480","270459","44793","2268"
"Brunei","309","39,098","5,122","64","32.1","3.5","0.4","91.6","309000","197760","99189","10815","1236"
"Bulgaria","5,586","36,443","17,403","38.7","54.9","6.2","0.2","70.1","5586000","2161782","3066714","346332","11172"
"Burkina Faso","9,480","1,681","622","98","1.9","0.1","0","76.8","9480000","9290400","180120","9480","0"
"Burundi","5,381","728","281","99.5","0.5","0","0","75.1","5381000","5354095","26905","0","0"
"Cambodia","10,180","5,895","2,031","90.7","8.7","0.6","0","78.7","10180000","9233260","885660","61080","0"
"Cameroon","12,716","3,042","941","94.3","5.5","0.2","0","81.6","12716000","11991188","699380","25432","0"
"Canada","29,934","332,323","125,688","20.7","25.1","48.6","5.6","71.9","29934000","6196338","7513434","14547924","1676304"
"Central African Republic","2,161","840","212","98.8","1.2","0","0","85.9","2161000","2135068","25932","0","0"
"Chad","7,059","1,117","355","98.7","1.3","0.1","0","80.6","7059000","6967233","91767","7059","0"
"Chile","14,259","53,591","17,747","39.1","51.6","8.8","0.5","79.7","14259000","5575269","7357644","1254792","71295"
"China","1,104,956","67,771","24,067","20.9","66.1","12.5","0.5","70.4","1104956000","230935804","730375916","138119500","5524780"
"Colombia","35,612","16,928","4,854","72","25.4","2.5","0.1","82.7","35612000","25640640","9045448","890300","35612"
"Comoros","447","5,397","1,466","91.5","7.9","0.6","0","84.8","447000","409005","35313","2682","0"
"Congo, Dem. Rep.","39,740","1,240","356","98.3","1.6","0.1","0","83.2","39740000","39064420","635840","39740","0"
"Congo, Rep.","2,707","2,180","582","95.6","4.2","0.1","0","84.7","2707000","2587892","113694","2707","0"
"Costa Rica","3,696","44,337","14,662","44","47.4","8.4","0.3","79.9","3696000","1626240","1751904","310464","11088"
"Croatia","3,303","69,140","34,945","27","57","15.5","0.5","68.5","3303000","891810","1882710","511965","16515"
"Cyprus","679","142,304","35,300","23","57","18.3","1.7","80.7","679000","156170","387030","124257","11543"
"Czechia","8,528","78,103","23,794","29.6","55.7","14","0.7","77.7","8528000","2524288","4750096","1193920","59696"
"Denmark","4,557","376,069","165,622","15.4","25.4","52.5","6.7","73.6","4557000","701778","1157478","2392425","305319"
"Djibouti","618","3,112","1,077","94","6","0","0","78.8","618000","580920","37080","0","0"
"Dutch Caribbean","258","40,909","16,810","40","52.7","7.1","0.2","69.1","258000","103200","135966","18318","516"
"Ecuador","11,361","17,151","5,444","69.9","27.9","2.1","0.1","80.8","11361000","7941339","3169719","238581","11361"
"Egypt","59,547","19,468","6,329","66.5","30.7","2.6","0.1","79.2","59547000","39598755","18280929","1548222","59547"
"El Salvador","4,201","34,003","11,372","47.6","46","6.2","0.2","79.1","4201000","1999676","1932460","260462","8402"
"Equatorial Guinea","776","18,246","4,561","77","18.8","4.1","0.1","86.3","776000","597520","145888","31816","776"
"Eritrea","1,728","2,846","1,086","95.2","4.7","0.1","0","75.7","1728000","1645056","81216","1728","0"
"Estonia","1,044","77,817","38,901","30.5","53.5","15.3","0.7","73.8","1044000","318420","558540","159732","7308"
